player_id,player_name,player_market_value,player_kit_number,player_position,player_nationality,player_nat_flag_pic,player_portrait_pic,player_birth_date,team_id,league_id
1808,Janik Haberer,2500000.0,19.0,Central Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/177779-1692707721.jpg?lm=1,1994-04-02,66,3
1809,Alex Král,2500000.0,33.0,Central Midfield,Czech Republic,https://tmssl.akamaized.net//images/flagge/verysmall/172.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/337333-1691614545.jpg?lm=1,1998-05-19,66,3
1810,Robert Skov,2500000.0,24.0,Left Midfield,Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/270393-1726350741.jpg?lm=1,1996-05-20,66,3
1811,Woo-yeong Jeong,3500000.0,11.0,Attacking Midfield,"Korea, South",https://tmssl.akamaized.net//images/flagge/verysmall/87.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/297583-1723707463.jpg?lm=1,1999-09-20,66,3
1812,Livan Burcu,4000000.0,9.0,Left Winger,Türkiye,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/519872-1691615485.jpg?lm=1,2004-09-28,66,3
1813,David Preu,400000.0,17.0,Left Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/745075-1726351060.jpg?lm=1,2004-10-26,66,3
1814,Ilyas Ansah,12000000.0,10.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/1035765-1755624476.jpg?lm=1,2004-11-08,66,3
1815,Andrej Ilic,6000000.0,23.0,Centre-Forward,Serbia,https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/583699-1726350811.jpg?lm=1,2000-04-03,66,3
1816,Oliver Burke,4000000.0,7.0,Centre-Forward,Scotland,https://tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/341317-1755624913.jpg?lm=1,1997-04-07,66,3
1817,Tim Skarke,1800000.0,21.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/287920-1747224742.jpg?lm=1,1996-09-07,66,3
1818,Dmytro Bogdanov,600000.0,30.0,Centre-Forward,Ukraine,https://tmssl.akamaized.net//images/flagge/verysmall/177.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1045446-1755624207.jpg?lm=1,2007-03-06,66,3
1819,Robin Zentner,3000000.0,27.0,Goalkeeper,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/160963-1676499369.jpg?lm=1,1994-10-28,67,3
1820,Lasse Rieß,500000.0,1.0,Goalkeeper,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/490609-1752587621.jpg?lm=1,2001-07-27,67,3
1821,Daniel Batz,350000.0,33.0,Goalkeeper,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/90317-1722886526.jpg?lm=1,1991-01-12,67,3
1822,Kacper Potulski,12000000.0,48.0,Centre-Back,Poland,https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1073748-1765043272.jpg?lm=1,2007-10-19,67,3
1823,Stefan Posch,5500000.0,4.0,Centre-Back,Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/223974-1725531246.jpg?lm=1,1997-05-14,67,3
1824,Andreas Hanche-Olsen,4000000.0,25.0,Centre-Back,Norway,https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/370683-1692000124.jpg?lm=1,1997-01-17,67,3
1825,Dominik Kohr,2000000.0,31.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/118847-1722886760.jpg?lm=1,1994-01-31,67,3
1826,Danny da Costa,1200000.0,21.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/85906-1752588257.jpg?lm=1,1993-07-13,67,3
1827,Maxim Leitsch,1000000.0,5.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/334207-1676499456.jpg?lm=1,1998-05-18,67,3
1828,Stefan Bell,600000.0,16.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/82350-1657706740.jpg?lm=1,1991-08-24,67,3
1829,Maxim Dal,150000.0,47.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/934317-1722886472.jpg?lm=1,2006-01-26,67,3
1830,Phillipp Mwene,1500000.0,2.0,Left-Back,Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/127573-1722886402.jpg?lm=1,1994-01-29,67,3
1831,Kasey Bos,450000.0,18.0,Left-Back,Australia,https://tmssl.akamaized.net//images/flagge/verysmall/12.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1154876-1752587953.jpg?lm=1,2004-05-08,67,3
1832,Anthony Caci,8000000.0,19.0,Right-Back,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/453016-1657706767.jpg?lm=1,1997-07-01,67,3
1833,Silvan Widmer,800000.0,30.0,Right-Back,Switzerland,https://tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/168989-1629202510.jpg?lm=1,1993-03-05,67,3
1834,Kaishu Sano,25000000.0,6.0,Defensive Midfield,Japan,https://tmssl.akamaized.net//images/flagge/verysmall/77.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/643574-1752587688.jpg?lm=1,2000-12-30,67,3
1835,Lennard Maloney,2500000.0,15.0,Defensive Midfield,United States,https://tmssl.akamaized.net//images/flagge/verysmall/184.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/392710-1752587852.jpg?lm=1,1999-10-08,67,3
1836,Sota Kawasaki,1500000.0,24.0,Defensive Midfield,Japan,https://tmssl.akamaized.net//images/flagge/verysmall/77.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/733371-1752588052.jpg?lm=1,2001-07-30,67,3
1837,Niklas Tauer,350000.0,28.0,Defensive Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/470815-1657707191.jpg?lm=1,2001-02-17,67,3
1838,Nadiem Amiri,17000000.0,10.0,Central Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/232454-1722885996.jpg?lm=1,1996-10-27,67,3
1839,Daniel Gleiber,300000.0,42.0,Central Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/906969-1752588202.jpg?lm=1,2005-02-01,67,3
