team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
65,1.FC Köln,https://tmssl.akamaized.net/images/wappen/tiny/3.png?lm=1656580823,/1-fc-koln/startseite/verein/3/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
66,1.FC Union Berlin,https://tmssl.akamaized.net/images/wappen/tiny/89.png?lm=1402956210,/1-fc-union-berlin/startseite/verein/89/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
67,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/tiny/39.png?lm=1564748880,/1-fsv-mainz-05/startseite/verein/39/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
68,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781,/bayer-04-leverkusen/startseite/verein/15/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
69,Bayern Munich,https://tmssl.akamaized.net/images/wappen/tiny/27.png?lm=1498251238,/fc-bayern-munchen/startseite/verein/27/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
70,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280,/borussia-dortmund/startseite/verein/16/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
71,Borussia Mönchengladbach,https://tmssl.akamaized.net/images/wappen/tiny/18.png?lm=1656585796,/borussia-monchengladbach/startseite/verein/18/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
72,Eintracht Frankfurt,https://tmssl.akamaized.net/images/wappen/tiny/24.png?lm=1403806187,/eintracht-frankfurt/startseite/verein/24/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
73,FC Augsburg,https://tmssl.akamaized.net/images/wappen/tiny/167.png?lm=1656582897,/fc-augsburg/startseite/verein/167/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
74,RB Leipzig,https://tmssl.akamaized.net/images/wappen/tiny/23826.png?lm=1619431624,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
75,SC Freiburg,https://tmssl.akamaized.net/images/wappen/tiny/60.png?lm=1517249279,/sc-freiburg/startseite/verein/60/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
76,SV Darmstadt 98,https://tmssl.akamaized.net/images/wappen/tiny/105.png?lm=1501493517,/sv-darmstadt-98/startseite/verein/105/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
77,SV Werder Bremen,https://tmssl.akamaized.net/images/wappen/tiny/86.png?lm=1403082298,/sv-werder-bremen/startseite/verein/86/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
78,TSG 1899 Hoffenheim,https://tmssl.akamaized.net/images/wappen/tiny/533.png?lm=1675591766,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
79,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/tiny/79.png?lm=1680587427,/vfb-stuttgart/startseite/verein/79/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
80,VfL Bochum,https://tmssl.akamaized.net/images/wappen/tiny/80.png?lm=1656583090,/vfl-bochum/startseite/verein/80/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
81,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/tiny/82.png?lm=1503060755,/vfl-wolfsburg/startseite/verein/82/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
82,AC Milan,https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627,/ac-mailand/startseite/verein/5/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
83,AC Monza,https://tmssl.akamaized.net/images/wappen/tiny/2919.png?lm=1562072734,/ac-monza/startseite/verein/2919/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
